N,P,K,temperature,humidity,ph,rainfall,label
125,51,55,26.33564,76.076417,6.255753,1509.133932,turmeric
135,73,25,18.375287,59.387788,6.024456,124.471998,maize
105,34,42,19.250061,45.716219,6.773202,112.901578,wheat
29,50,42,17.639657,37.055685,6.205306,107.643584,lentil
67,34,33,24.549404,25.772472,7.847818,58.597649,cumin
110,66,78,28.097378,75.981381,5.559017,1233.399346,banana
81,41,30,8.746309,38.592144,6.068158,60.081402,mustard
50,22,24,24.873455,38.075628,7.952614,43.066066,cumin
29,59,36,28.733567,49.97628,7.476809,984.548546,pigeonpeas
23,53,56,12.357817,23.892003,6.861343,33.177696,lentil
42,46,44,31.278776,50.263228,5.898729,1056.176543,pigeonpeas
26,56,51,27.701511,54.226311,6.549046,534.185785,groundnut
26,37,51,33.972051,49.830544,6.894767,778.240579,pigeonpeas
71,43,54,32.290061,77.261524,5.341501,1388.799551,jute
153,59,69,32.229021,75.029887,6.060189,1678.623994,sugarcane
41,53,68,19.074634,19.155468,7.174048,86.376828,chickpea
15,45,21,34.618485,62.286202,6.215748,688.337214,mungbean
36,40,32,24.593212,25.927353,6.774462,20.775211,cumin
96,76,72,28.13733,81.151293,6.065869,1400.222656,banana
136,59,58,24.611144,54.1881,6.75788,597.882177,cotton
135,53,67,29.084346,45.675443,7.561875,773.236782,cotton
27,48,32,23.555681,79.258167,6.567258,858.386902,blackgram
100,48,38,24.504055,79.304327,5.30836,1519.057387,jute
92,53,45,25.959013,91.924057,5.691144,1596.391057,jute
26,57,15,31.395405,64.433952,6.65019,920.019567,blackgram
96,56,40,25.215447,85.470436,5.989747,210.504958,rice
96,49,53,30.731469,69.770267,5.412682,1563.221946,turmeric
49,45,28,17.443645,50.997443,6.640797,33.162051,mustard
89,55,44,22.832869,91.948675,6.292082,299.316942,rice
15,53,53,14.621577,25.056737,7.499484,59.121433,lentil
82,52,50,22.522851,83.439813,6.097558,278.782021,rice
73,41,45,12.963719,42.421813,6.611842,64.702281,mustard
125,50,16,21.645664,56.794018,6.8327,104.043457,maize
96,65,33,24.842091,59.535172,5.806458,75.828305,maize
107,49,41,13.504723,48.859482,6.30392,41.366147,wheat
95,34,32,14.369333,53.941655,7.40196,86.049572,wheat
109,42,36,24.962705,76.932266,5.384569,1502.293926,jute
26,50,44,13.308286,32.062825,6.777555,58.262823,lentil
82,33,22,25.578606,59.047971,6.321314,632.340722,finger_millet
77,52,46,15.978657,49.380764,6.134234,75.242031,wheat
62,45,29,12.148755,37.937931,6.862428,28.117891,barley
80,41,35,27.568165,89.758058,5.491513,248.445696,rice
88,37,36,11.003843,48.941823,7.725898,26.315355,barley
98,36,31,21.106057,52.691386,7.794814,71.579455,wheat
52,40,33,17.919658,39.478624,6.473466,54.545386,mustard
53,44,44,35.739354,34.589081,5.993153,323.398402,sorghum
101,46,41,19.502658,55.231795,6.556956,118.069125,wheat
77,24,24,28.284363,49.05713,6.228,313.675734,sorghum
87,60,36,24.986475,81.459445,6.043225,278.516037,rice
86,52,46,20.845869,53.576331,6.387059,38.393415,wheat
93,55,46,29.479365,61.895304,7.004127,567.906896,cotton
93,37,38,11.397399,38.198265,7.637063,48.027272,barley
20,43,34,31.61296,42.306726,7.404777,715.70874,groundnut
119,33,51,29.812253,90.275362,6.643187,1805.916501,jute
61,24,31,25.523147,54.09689,6.524743,851.067707,finger_millet
20,51,63,13.860264,26.979998,6.8505,48.545284,lentil
71,21,36,29.967929,38.354918,6.807465,420.475214,sorghum
46,58,43,22.451421,52.392588,6.1358,460.089024,groundnut
110,64,70,25.474769,89.818915,5.998281,917.729612,banana
82,39,29,13.762214,41.875925,6.662934,25.225917,mustard
160,60,91,24.35179,69.354579,7.176316,1794.299261,sugarcane
51,21,29,19.595559,30.403157,7.50647,42.193937,cumin
68,39,39,10.394057,54.959642,6.336763,52.2282,mustard
121,39,51,30.290726,60.447008,6.477912,750.551124,cotton
124,48,25,21.787034,68.882633,6.378308,113.455454,maize
36,45,49,29.078029,53.812995,6.105982,1086.170188,pigeonpeas
127,67,88,29.065145,78.137492,7.349436,1182.980415,sugarcane
25,53,60,28.665661,56.363699,6.854163,483.647708,groundnut
33,53,27,27.74441,70.902961,6.10391,604.726934,blackgram
116,51,36,20.026403,58.368839,6.981555,67.437402,wheat
107,58,46,26.319151,74.772096,6.163322,1205.675714,turmeric
85,40,30,34.496634,47.212195,6.579106,366.911331,sorghum
100,57,68,26.080976,89.104857,6.133902,1586.150468,banana
100,46,33,12.827368,47.356826,6.407516,47.508876,wheat
121,65,85,33.513556,66.384533,6.698349,2167.258671,sugarcane
94,25,40,34.224511,45.854752,7.130946,396.666967,sorghum
111,54,20,24.640122,64.644505,6.113139,115.405838,maize
80,36,30,12.039397,42.982186,6.587478,37.232999,barley
16,39,16,27.091525,78.856794,7.797087,690.458713,blackgram
58,17,24,28.739994,41.27985,7.982777,218.73502,pearl_millet
82,40,39,14.083372,41.018381,7.347923,89.864484,barley
35,60,37,25.047639,50.420663,5.824616,905.917527,pigeonpeas
38,29,27,37.306229,42.393404,6.860917,263.683509,pearl_millet
94,55,43,14.857076,40.883055,6.140709,88.953252,wheat
58,35,42,11.063601,38.014865,6.047788,48.763583,mustard
112,51,34,18.635236,40.565172,7.25213,106.739445,wheat
40,32,21,18.730853,35.854449,7.089069,54.894031,cumin
83,54,44,24.671719,80.153319,6.301774,1957.693225,jute
90,55,91,32.743576,78.915773,6.690452,903.014542,banana
89,27,42,12.761726,37.767571,7.558633,61.080369,barley
110,46,42,23.391162,80.968628,6.463158,199.487538,rice
114,58,90,32.991525,65.366182,6.237446,1152.718236,sugarcane
76,44,39,13.891229,35.383458,7.819826,27.421502,barley
78,42,42,33.487577,85.233842,6.590765,1401.606802,jute
101,57,54,26.652501,49.957726,6.345867,678.245847,cotton
15,42,49,16.443284,25.849573,7.457112,54.981202,lentil
54,45,40,35.44257,49.407042,6.294689,505.661927,sorghum
