N,P,K,temperature,humidity,ph,rainfall,label
83,53,37,26.318424347810346,76.48226425322522,6.745392483144898,258.4061036548905,rice
87,35,46,28.75513183285397,89.97355286428633,6.974810720847065,230.42430342522147,rice
81,45,47,22.260745979250487,71.4998441821512,6.545768645084715,216.7027430574556,rice
93,39,35,27.298306011527107,88.74303288466734,5.500937006960164,255.40445878304917,rice
89,48,38,23.31828460963769,88.2467310095567,5.676033864996916,290.61878277935324,rice
99,54,35,28.13180553595425,79.05004466405394,6.304738355386622,201.68475285402624,rice
99,57,37,27.3176266987685,76.953990186157,6.480909618804912,208.91376098024153,rice
87,54,48,26.22154989587418,84.60533789701668,5.627086036680428,263.7776406997705,rice
83,46,49,28.043560671501798,73.27202027940913,6.050755364138919,217.53562049375878,rice
91,55,35,26.50033342652033,80.10007646080113,6.792330873635942,242.9088295471199,rice
97,53,41,27.44902689783159,89.54959875729259,6.149002443908548,223.01564385119576,rice
90,40,49,23.612958892747166,74.1856660500502,6.1209226673085535,248.75935613221353,rice
97,48,47,28.77107156440643,84.35325190591519,6.920888577380781,255.2813944229969,rice
97,36,40,23.967417824903478,74.2466252186953,6.611160996082593,235.51646010134277,rice
80,38,41,25.089823254975066,89.46132500097538,5.639117215862323,218.97021571747408,rice
80,57,47,28.814545534168346,87.3660944556506,6.162086401408394,208.02034573196082,rice
84,46,36,22.506240602092824,76.95536024727161,6.9633705693843355,253.89705197125485,rice
88,47,39,23.77039421255465,77.08860206860335,6.776359890601699,288.3082114066044,rice
92,35,40,26.750536547135578,75.18475672722298,5.853281268468168,254.4731589627997,rice
92,59,45,26.966689415573768,82.51415468106305,5.6568725540074265,211.32253968576708,rice
88,48,36,28.463443372484512,85.26779420400288,5.693068754706151,276.5582559870246,rice
83,36,49,25.26444005145965,79.89458099666595,5.670619522672595,280.3703698161971,rice
89,44,39,28.126009070500093,84.81069330576183,6.643977079546326,284.7323252691742,rice
91,41,47,24.797787245227195,78.61589784024366,5.92537508286851,242.47135408678008,rice
86,49,43,26.628308521410442,75.65608300752942,6.738386711769708,216.91396991967608,rice
80,47,45,25.831518256649066,77.65580927415942,5.998838906997234,229.7344887282313,rice
92,47,49,27.052140647369352,71.10895285373581,6.765652015574804,255.17584832766394,rice
90,41,42,27.713235903264952,84.83166602611307,6.973993231321587,246.69922560725612,rice
84,35,45,25.473881789911722,70.46123292756535,6.451767675326206,274.6016270031155,rice
83,54,38,29.710556997066224,81.32020994072116,6.350752415381136,257.99256080498316,rice
89,47,40,26.790812404847635,78.86973369140514,6.987109923214107,250.03525017008974,rice
83,57,45,28.517327017463714,70.46313802689194,6.078582002400364,297.36255905287896,rice
91,37,41,29.023415094354032,81.65502722240217,6.345063139359743,219.05212733794372,rice
94,47,43,27.144567631584433,78.41587758710988,6.622102592300184,294.2094075738834,rice
87,58,48,22.111065353960804,71.75188182771531,5.845196871863678,258.53468898737924,rice
93,36,43,25.6016125002041,85.91463473262317,6.8158556463713165,219.3356595754559,rice
98,44,44,29.10754838422005,88.38173662025386,6.682324521590823,227.78020201629042,rice
82,40,48,24.34882922582405,87.91700998234074,6.640284190822689,293.73797723770844,rice
87,56,46,25.888264174823306,79.93489930653357,6.684499214520271,216.9289825286811,rice
99,45,45,24.644723126260512,76.39321764874407,6.057994046468018,211.8376812605948,rice
85,53,44,28.43561497638975,75.42494593556263,5.862444957489411,228.00174943627403,rice
96,58,40,25.808493303006326,75.71886443461057,5.925233378173986,242.8490808809355,rice
97,52,42,23.08777188702293,83.0120602953007,6.546712530651107,296.25166957291384,rice
86,43,49,23.700744811590965,73.59914977860598,5.754555667086599,257.00622277262926,rice
93,53,45,29.031028874736215,79.65163921281648,6.858817665330688,277.86517839541034,rice
95,49,46,22.870085239519934,79.74862647455765,5.927218654154998,279.83551205974777,rice
83,41,38,29.37923207875748,78.08692129193933,6.468021704845943,211.15229289891911,rice
